"TestID","Category","Module / Page","Test Case","Method","Environment","Status","Observed Result (evidence)","Executed At"
"FUN-012","Functional Testing","Authentication","Register as Mentor — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 201 (handled)","2026-07-11T19:49:48.906Z"
"FUN-013","Functional Testing","Authentication","Register as Mentor — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] public route -> 201","2026-07-11T19:49:48.906Z"
"FUN-014","Functional Testing","Authentication","Register as Mentor — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 201,400","2026-07-11T19:49:48.906Z"
"FUN-015","Functional Testing","Authentication","Register as Mentor — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=201, body present=true","2026-07-11T19:49:48.906Z"
"FUN-016","Functional Testing","Authentication","Register as Mentor — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=201","2026-07-11T19:49:48.906Z"
"FUN-017","Functional Testing","Authentication","Login with email & password — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-018","Functional Testing","Authentication","Login with email & password — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] omit email -> 400","2026-07-11T19:49:48.906Z"
"FUN-019","Functional Testing","Authentication","Login with email & password — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-020","Functional Testing","Authentication","Login with email & password — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 400 (handled)","2026-07-11T19:49:48.906Z"
"FUN-021","Functional Testing","Authentication","Login with email & password — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] public route -> 200","2026-07-11T19:49:48.906Z"
"FUN-022","Functional Testing","Authentication","Login with email & password — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-023","Functional Testing","Authentication","Login with email & password — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-024","Functional Testing","Authentication","Login with email & password — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-025","Functional Testing","Authentication","Forgot password token issue — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-026","Functional Testing","Authentication","Forgot password token issue — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-027","Functional Testing","Authentication","Forgot password token issue — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-028","Functional Testing","Authentication","Forgot password token issue — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 404 (handled)","2026-07-11T19:49:48.906Z"
"FUN-029","Functional Testing","Authentication","Forgot password token issue — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] public route -> 200","2026-07-11T19:49:48.906Z"
"FUN-030","Functional Testing","Authentication","Forgot password token issue — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-031","Functional Testing","Authentication","Forgot password token issue — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-032","Functional Testing","Authentication","Forgot password token issue — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-033","Functional Testing","Authentication","Reset password with token — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-034","Functional Testing","Authentication","Reset password with token — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] omit token -> 400","2026-07-11T19:49:48.906Z"
"FUN-035","Functional Testing","Authentication","Reset password with token — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 400 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-036","Functional Testing","Authentication","Reset password with token — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 400 (handled)","2026-07-11T19:49:48.906Z"
"FUN-037","Functional Testing","Authentication","Reset password with token — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] public route -> 200","2026-07-11T19:49:48.906Z"
"FUN-038","Functional Testing","Authentication","Reset password with token — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-039","Functional Testing","Authentication","Reset password with token — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-040","Functional Testing","Authentication","Reset password with token — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-041","Functional Testing","Authentication","JWT verification middleware — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-042","Functional Testing","Authentication","JWT verification middleware — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-043","Functional Testing","Authentication","JWT verification middleware — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-044","Functional Testing","Authentication","JWT verification middleware — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-045","Functional Testing","Authentication","JWT verification middleware — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-046","Functional Testing","Authentication","JWT verification middleware — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-047","Functional Testing","Authentication","JWT verification middleware — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-048","Functional Testing","Authentication","JWT verification middleware — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-049","Functional Testing","Authorization","Role-based access control — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-050","Functional Testing","Authorization","Role-based access control — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-051","Functional Testing","Authorization","Role-based access control — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-052","Functional Testing","Authorization","Role-based access control — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-053","Functional Testing","Authorization","Role-based access control — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-054","Functional Testing","Authorization","Role-based access control — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-055","Functional Testing","Authorization","Role-based access control — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-056","Functional Testing","Authorization","Role-based access control — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-057","Functional Testing","Profile","View own profile — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-058","Functional Testing","Profile","View own profile — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-059","Functional Testing","Profile","View own profile — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-060","Functional Testing","Profile","View own profile — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-061","Functional Testing","Profile","View own profile — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-062","Functional Testing","Profile","View own profile — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-063","Functional Testing","Profile","View own profile — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-064","Functional Testing","Profile","View own profile — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-065","Functional Testing","Profile","Update Learner profile — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-066","Functional Testing","Profile","Update Learner profile — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-067","Functional Testing","Profile","Update Learner profile — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-068","Functional Testing","Profile","Update Learner profile — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-069","Functional Testing","Profile","Update Learner profile — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-070","Functional Testing","Profile","Update Learner profile — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-071","Functional Testing","Profile","Update Learner profile — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-072","Functional Testing","Profile","Update Learner profile — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-073","Functional Testing","Profile","Update Mentor profile — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-074","Functional Testing","Profile","Update Mentor profile — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-075","Functional Testing","Profile","Update Mentor profile — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-076","Functional Testing","Profile","Update Mentor profile — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-077","Functional Testing","Profile","Update Mentor profile — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-078","Functional Testing","Profile","Update Mentor profile — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-079","Functional Testing","Profile","Update Mentor profile — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-080","Functional Testing","Profile","Update Mentor profile — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-081","Functional Testing","Authentication","Duplicate email prevention — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=400 exp=400","2026-07-11T19:49:48.906Z"
"FUN-082","Functional Testing","Authentication","Duplicate email prevention — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=400","2026-07-11T19:49:48.906Z"
"FUN-083","Functional Testing","Authentication","Duplicate email prevention — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 400 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-084","Functional Testing","Authentication","Duplicate email prevention — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 400 (handled)","2026-07-11T19:49:48.906Z"
"FUN-085","Functional Testing","Authentication","Duplicate email prevention — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] public route -> 400","2026-07-11T19:49:48.906Z"
"FUN-086","Functional Testing","Authentication","Duplicate email prevention — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 400,400","2026-07-11T19:49:48.906Z"
"FUN-087","Functional Testing","Authentication","Duplicate email prevention — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=400, body present=true","2026-07-11T19:49:48.906Z"
"FUN-088","Functional Testing","Authentication","Duplicate email prevention — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=400","2026-07-11T19:49:48.906Z"
"FUN-089","Functional Testing","Profile","Avatar auto-generation — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=201 exp=201","2026-07-11T19:49:48.906Z"
"FUN-090","Functional Testing","Profile","Avatar auto-generation — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=201","2026-07-11T19:49:48.906Z"
"FUN-091","Functional Testing","Profile","Avatar auto-generation — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-092","Functional Testing","Profile","Avatar auto-generation — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 201 (handled)","2026-07-11T19:49:48.906Z"
"FUN-093","Functional Testing","Profile","Avatar auto-generation — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] public route -> 201","2026-07-11T19:49:48.906Z"
"FUN-094","Functional Testing","Profile","Avatar auto-generation — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 201,400","2026-07-11T19:49:48.906Z"
"FUN-095","Functional Testing","Profile","Avatar auto-generation — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=201, body present=true","2026-07-11T19:49:48.906Z"
"FUN-096","Functional Testing","Profile","Avatar auto-generation — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=201","2026-07-11T19:49:48.906Z"
"FUN-097","Functional Testing","Mentor Discovery","List all mentors — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-098","Functional Testing","Mentor Discovery","List all mentors — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-099","Functional Testing","Mentor Discovery","List all mentors — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-100","Functional Testing","Mentor Discovery","List all mentors — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-101","Functional Testing","Mentor Discovery","List all mentors — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-102","Functional Testing","Mentor Discovery","List all mentors — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-103","Functional Testing","Mentor Discovery","List all mentors — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-104","Functional Testing","Mentor Discovery","List all mentors — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-105","Functional Testing","Mentor Discovery","AI Best-Fit score — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-106","Functional Testing","Mentor Discovery","AI Best-Fit score — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-107","Functional Testing","Mentor Discovery","AI Best-Fit score — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-108","Functional Testing","Mentor Discovery","AI Best-Fit score — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-109","Functional Testing","Mentor Discovery","AI Best-Fit score — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-110","Functional Testing","Mentor Discovery","AI Best-Fit score — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-111","Functional Testing","Mentor Discovery","AI Best-Fit score — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-112","Functional Testing","Mentor Discovery","AI Best-Fit score — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-113","Functional Testing","Mentor Discovery","View mentor detail by id — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-114","Functional Testing","Mentor Discovery","View mentor detail by id — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-115","Functional Testing","Mentor Discovery","View mentor detail by id — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-116","Functional Testing","Mentor Discovery","View mentor detail by id — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-117","Functional Testing","Mentor Discovery","View mentor detail by id — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-118","Functional Testing","Mentor Discovery","View mentor detail by id — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-119","Functional Testing","Mentor Discovery","View mentor detail by id — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-120","Functional Testing","Mentor Discovery","View mentor detail by id — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-121","Functional Testing","Mentor Discovery","Mentor approval flag — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-122","Functional Testing","Mentor Discovery","Mentor approval flag — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
"FUN-123","Functional Testing","Mentor Discovery","Mentor approval flag — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-07-11T19:49:48.906Z"
"FUN-124","Functional Testing","Mentor Discovery","Mentor approval flag — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-07-11T19:49:48.906Z"
"FUN-125","Functional Testing","Mentor Discovery","Mentor approval flag — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] no token -> 401","2026-07-11T19:49:48.906Z"
"FUN-126","Functional Testing","Mentor Discovery","Mentor approval flag — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 200,200","2026-07-11T19:49:48.906Z"
"FUN-127","Functional Testing","Mentor Discovery","Mentor approval flag — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=200, body present=true","2026-07-11T19:49:48.906Z"
"FUN-128","Functional Testing","Mentor Discovery","Mentor approval flag — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=200","2026-07-11T19:49:48.906Z"
"FUN-129","Functional Testing","Mentor Discovery","Mentor feedback on profile — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=200 exp=200","2026-07-11T19:49:48.906Z"
"FUN-130","Functional Testing","Mentor Discovery","Mentor feedback on profile — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-07-11T19:49:48.906Z"
